id_municipio,nome_municipio,sigla_uf,bioma_predominante,n_focos,risco_fogo_medio,frp_medio,dias_sem_chuva_medio,precipitacao_media,centroide_lat,centroide_lon
3548906,São Carlos,SP,Cerrado,353,0.9611,34.178,11.39,0.119,-21.959525,-47.868694
3515186,Espírito Santo do Pinhal,SP,Mata Atlântica,353,0.8405,14.195,7.27,0.391,-22.255756,-46.746928
2301257,Ararendá,CE,Caatinga,352,0.9593,28.696,40.11,0.123,-4.769656,-40.792746
3151503,Piumhi,MG,Cerrado,352,0.8712,12.047,14.01,0.394,-20.451733,-46.065255
3110004,Caeté,MG,Mata Atlântica,351,0.6928,6.262,10.37,0.687,-19.900512,-43.649135
2933158,Várzea Nova,BA,Caatinga,350,0.9524,16.125,22.96,0.521,-11.133956,-41.022059
2306553,Itarema,CE,Caatinga,349,0.8679,11.575,78.11,0.304,-3.057241,-39.906839
1600808,Vitória do Jari,AP,Amazônia,349,0.4783,10.710,2.62,0.943,-1.001275,-52.155585
2302107,Baturité,CE,Caatinga,347,0.9836,18.765,78.71,0.001,-4.357684,-38.853806
5219308,Santa Helena de Goiás,GO,Cerrado,346,0.9562,96.300,14.10,0.709,-17.811017,-50.515831
2914000,Ipirá,BA,Caatinga,345,0.9856,11.326,18.14,0.447,-12.180853,-39.867358
2202075,Cajazeiras do Piauí,PI,Caatinga,345,0.9734,21.723,16.91,0.087,-6.772393,-42.414769
2607653,Itambé,PE,Mata Atlântica,344,0.8912,14.765,52.68,0.249,-7.442017,-35.159957
2921401,Mirangaba,BA,Caatinga,344,0.9135,9.215,19.34,0.091,-10.822136,-40.663307
4203402,Campo Belo do Sul,SC,Mata Atlântica,344,0.1112,13.794,5.53,0.869,-27.829932,-50.771332
2302008,Barro,CE,Caatinga,343,0.8955,33.605,14.10,0.083,-7.097170,-38.803603
5210901,Itapaci,GO,Cerrado,343,0.8960,48.860,15.80,0.335,-14.930031,-49.541072
2915809,Itambé,BA,Mata Atlântica,342,0.9130,16.557,19.14,0.255,-15.162191,-40.451244
3525300,Jaú,SP,Mata Atlântica,341,0.9411,30.880,22.95,0.291,-22.271510,-48.571099
2205565,Lagoa do Barro do Piauí,PI,Caatinga,341,0.9713,36.584,21.30,0.036,-8.614456,-41.614966
2805406,Poço Redondo,SE,Caatinga,340,0.9590,7.189,21.07,0.358,-9.843051,-37.697866
2313955,Varjota,CE,Caatinga,340,0.9925,12.964,51.32,0.061,-4.161294,-40.497515
5107602,Rondonópolis,MT,Cerrado,339,0.7479,13.729,14.67,1.337,-16.490100,-54.677702
3143450,Montezuma,MG,Mata Atlântica,339,0.7488,24.322,32.72,0.150,-15.135072,-42.476958
2106003,Lima Campos,MA,Cerrado,338,0.8185,38.776,7.42,1.134,-4.561920,-44.462551
2210607,São Raimundo Nonato,PI,Caatinga,338,0.9507,16.972,17.95,0.139,-8.921181,-42.760468
3119807,Córrego Danta,MG,Cerrado,337,0.7873,7.980,15.35,0.254,-19.782495,-45.985471
3169604,Tupaciguara,MG,Cerrado,337,0.9745,24.152,27.68,0.188,-18.660637,-48.645754
2923605,Paramirim,BA,Caatinga,336,0.9219,16.831,19.87,0.300,-13.506903,-42.302649
2921054,Matina,BA,Caatinga,335,0.8894,20.893,13.89,0.330,-13.842605,-42.961036
3504503,Avaré,SP,Cerrado,335,0.8774,28.129,10.11,0.113,-23.026436,-48.932369
2313252,Tarrafas,CE,Caatinga,334,0.9498,53.042,20.83,0.077,-6.722502,-39.704618
2923357,Ourolândia,BA,Caatinga,334,0.9657,26.429,27.41,0.015,-10.831819,-41.229408
